V1,V2,V3
145.729096989967,21.483305509182,-5526
145.745819397993,21.483305509182,-5717
145.76254180602,21.483305509182,-5717
145.779264214047,21.483305509182,-5801
145.795986622074,21.483305509182,-5887
145.8127090301,21.483305509182,-5979
145.829431438127,21.483305509182,-6033
145.846153846154,21.483305509182,-6006
145.862876254181,21.483305509182,-5932
145.879598662207,21.483305509182,-5856
145.896321070234,21.483305509182,-5754
145.913043478261,21.483305509182,-5754
145.929765886288,21.483305509182,-5739
145.946488294314,21.483305509182,-5739
145.963210702341,21.483305509182,-5746
145.979933110368,21.483305509182,-5746
145.996655518395,21.483305509182,-5686
146.013377926421,21.483305509182,-5686
146.030100334448,21.483305509182,-5618
146.046822742475,21.483305509182,-5527
146.063545150502,21.483305509182,-5420
146.080267558528,21.483305509182,-5311
146.096989966555,21.483305509182,-5208
146.113712374582,21.483305509182,-5121
146.130434782609,21.483305509182,-5051
146.147157190635,21.483305509182,-4953
146.163879598662,21.483305509182,-4953
146.180602006689,21.483305509182,-4880
146.197324414716,21.483305509182,-4880
146.214046822742,21.483305509182,-4808
146.230769230769,21.483305509182,-4808
146.247491638796,21.483305509182,-4750
146.264214046823,21.483305509182,-4750
146.280936454849,21.483305509182,-4742
146.297658862876,21.483305509182,-4757
146.314381270903,21.483305509182,-4801
146.33110367893,21.483305509182,-4870
146.347826086957,21.483305509182,-4962
146.364548494983,21.483305509182,-5064
146.38127090301,21.483305509182,-5166
146.397993311037,21.483305509182,-5325
146.414715719064,21.483305509182,-5325
146.43143812709,21.483305509182,-5402
146.448160535117,21.483305509182,-5402
146.464882943144,21.483305509182,-5436
146.481605351171,21.483305509182,-5436
146.498327759197,21.483305509182,-5504
146.515050167224,21.483305509182,-5504
146.531772575251,21.483305509182,-5574
146.548494983278,21.483305509182,-5675
146.565217391304,21.483305509182,-5803
146.581939799331,21.483305509182,-5958
146.598662207358,21.483305509182,-6125
146.615384615385,21.483305509182,-6294
146.632107023411,21.483305509182,-6449
146.648829431438,21.483305509182,-6685
146.665551839465,21.483305509182,-6685
146.682274247492,21.483305509182,-6814
146.698996655518,21.483305509182,-6814
146.715719063545,21.483305509182,-6876
146.732441471572,21.483305509182,-6876
146.749163879599,21.483305509182,-6870
146.765886287625,21.483305509182,-6870
146.782608695652,21.483305509182,-6825
146.799331103679,21.483305509182,-6761
146.816053511706,21.483305509182,-6689
146.832775919732,21.483305509182,-6612
146.849498327759,21.483305509182,-6534
146.866220735786,21.483305509182,-6456
146.882943143813,21.483305509182,-6380
146.899665551839,21.483305509182,-6235
146.916387959866,21.483305509182,-6235
146.933110367893,21.483305509182,-6075
146.94983277592,21.483305509182,-6075
146.966555183946,21.483305509182,-5875
146.983277591973,21.483305509182,-5875
147,21.483305509182,-5650
142,21.4666110183639,-3069
142.016722408027,21.4666110183639,-3120
142.033444816054,21.4666110183639,-3107
142.05016722408,21.4666110183639,-3138
142.066889632107,21.4666110183639,-3181
142.083612040134,21.4666110183639,-3248
142.100334448161,21.4666110183639,-3310
142.117056856187,21.4666110183639,-3362
142.133779264214,21.4666110183639,-3400
142.150501672241,21.4666110183639,-3400
142.167224080268,21.4666110183639,-3337
142.183946488294,21.4666110183639,-3337
142.200668896321,21.4666110183639,-3143
142.217391304348,21.4666110183639,-3143
142.234113712375,21.4666110183639,-2774
142.250836120401,21.4666110183639,-2774
142.267558528428,21.4666110183639,-2560
142.284280936455,21.4666110183639,-2379
142.301003344482,21.4666110183639,-2255
142.317725752508,21.4666110183639,-2225
142.334448160535,21.4666110183639,-2309
142.351170568562,21.4666110183639,-2501
142.367892976589,21.4666110183639,-2782
142.384615384615,21.4666110183639,-3418
142.401337792642,21.4666110183639,-3418
142.418060200669,21.4666110183639,-3747
142.434782608696,21.4666110183639,-3747
142.451505016722,21.4666110183639,-3625
142.468227424749,21.4666110183639,-3625
142.484949832776,21.4666110183639,-3265
142.501672240803,21.4666110183639,-3265
142.518394648829,21.4666110183639,-3062
142.535117056856,21.4666110183639,-2914
142.551839464883,21.4666110183639,-2790
142.56856187291,21.4666110183639,-2743
142.585284280936,21.4666110183639,-2866
142.602006688963,21.4666110183639,-3550
142.61872909699,21.4666110183639,-4225
142.635451505017,21.4666110183639,-4710
142.652173913043,21.4666110183639,-4710
142.66889632107,21.4666110183639,-4749
142.685618729097,21.4666110183639,-4749
142.702341137124,21.4666110183639,-4621
142.719063545151,21.4666110183639,-4621
142.735785953177,21.4666110183639,-4350
142.752508361204,21.4666110183639,-4350
142.769230769231,21.4666110183639,-4184
142.785953177258,21.4666110183639,-4032
142.802675585284,21.4666110183639,-3906
142.819397993311,21.4666110183639,-3821
142.836120401338,21.4666110183639,-3790
142.852842809365,21.4666110183639,-3772
142.869565217391,21.4666110183639,-3718
142.886287625418,21.4666110183639,-3571
142.903010033445,21.4666110183639,-3571
142.919732441472,21.4666110183639,-3628
142.936454849498,21.4666110183639,-3628
142.953177257525,21.4666110183639,-3642
142.969899665552,21.4666110183639,-3642
142.986622073579,21.4666110183639,-3578
143.003344481605,21.4666110183639,-3578
143.020066889632,21.4666110183639,-3700
143.036789297659,21.4666110183639,-3899
143.053511705686,21.4666110183639,-4094
143.070234113712,21.4666110183639,-4126
143.086956521739,21.4666110183639,-4046
143.103678929766,21.4666110183639,-3893
143.120401337793,21.4666110183639,-3722
143.137123745819,21.4666110183639,-3651
143.153846153846,21.4666110183639,-3651
143.170568561873,21.4666110183639,-3528
143.1872909699,21.4666110183639,-3528
143.204013377926,21.4666110183639,-3682
143.220735785953,21.4666110183639,-3682
143.23745819398,21.4666110183639,-3680
143.254180602007,21.4666110183639,-3680
143.270903010033,21.4666110183639,-3633
143.28762541806,21.4666110183639,-3592
143.304347826087,21.4666110183639,-3570
143.321070234114,21.4666110183639,-3529
143.33779264214,21.4666110183639,-3351
143.354515050167,21.4666110183639,-3160
143.371237458194,21.4666110183639,-3071
143.387959866221,21.4666110183639,-3124
143.404682274247,21.4666110183639,-3124
143.421404682274,21.4666110183639,-3286
143.438127090301,21.4666110183639,-3286
143.454849498328,21.4666110183639,-3335
143.471571906355,21.4666110183639,-3335
143.488294314381,21.4666110183639,-3335
143.505016722408,21.4666110183639,-3335
