Cruise,segnum,stlin,endlin,lat1,lon1,lat2,lon2
2018,65,6551,6569,16.44983,143.26467,16.4655,143.22019
2018,66,6618,6630,16.53433,143.19583,16.54167,143.18751
2018,67,6657,6759,16.55667,143.17867,16.8205,142.85484
2018,68,6780,6827,18.0415,142.99967,18.2435,142.99967
2018,69,6829,6840,18.2435,142.99967,18.24533,143.008
2018,70,6845,6859,18.2365,143.021,18.22667,143.04616
2018,71,6864,6904,18.22167,143.05567,18.19167,143.18367
2018,72,6918,6956,18.16383,143.19117,18.1485,143.32033
2018,73,6976,7043,18.15017,143.36117,18.06667,143.57533
2018,74,7054,7068,18.05717,143.61017,18.0535,143.62166
2018,75,7274,7297,18.1515,143.74733,18.125,143.8175
2018,76,7331,7432,16.8725,143.64817,16.857,144.11667
2018,77,7468,7619,16.848,144.13217,17.44717,144.10383
2018,78,7634,7664,17.48467,144.08333,17.58617,144.083
2018,79,7697,7735,17.621,144.08083,17.69433,144.08767
2018,80,7763,7809,17.684,144.13983,17.78667,144.281
2018,81,7820,7865,18.07483,145.53083,18.09717,145.70166
2018,82,7866,7897,18.09717,145.70667,18.12117,145.74267
2018,83,7920,8031,18.14217,145.72267,18.0685,145.78335
2018,84,8072,8093,18.05617,145.7805,18.01883,145.72284
2018,85,8164,8174,18.08783,145.70317,18.0715,145.69233
2018,86,8207,8226,18.04467,145.67483,18.01217,145.652
2018,87,8229,8249,18.00167,145.64283,17.92967,145.61134
2018,88,8251,8341,17.92383,145.609,17.65517,145.44767
2018,89,8347,8371,17.64183,145.44167,17.54266,145.39784
2018,90,8436,8610,16.02133,144.64067,15.28033,144.71983
2018,91,8613,8897,15.26767,144.72017,14.0415,144.73483
2018,92,8906,8933,13.99883,144.73567,13.89633,144.73717
2018,93,8947,9082,13.08983,143.387,12.9385,142.83334
2018,94,9098,9113,12.96867,142.807,12.961,142.78583
2018,95,9136,9186,12.92867,142.76267,12.886,142.601
2018,96,9232,9347,12.87,142.51,13.146,142.11784
2018,97,9348,9452,13.14583,142.11783,12.83433,141.90367
2018,98,9482,9738,13.1975,142.26667,13.52783,143.2605
2018,99,9747,9799,13.52983,143.31,13.58667,143.49498
2018,100,9822,9860,13.62133,143.60933,13.66167,143.73499
2018,101,9872,9918,13.667,143.759,13.67667,143.88948
2018,102,9922,9942,13.67933,143.901,13.71667,143.94832
2018,103,9981,10009,14.54433,142.9075,14.626,142.93632
2018,104,10022,10068,14.67883,142.94833,14.84917,143.00448
2018,105,10070,10165,14.84917,143.0045,14.691,143.33349
2018,106,10174,10202,14.66017,143.33283,14.6525,143.39267
2018,107,10233,10386,14.62467,143.42883,14.37433,143.99598
2018,108,10417,10432,14.34717,144.00267,14.34083,144.03566
2018,109,10448,10455,14.32033,144.05533,14.31933,144.05916
2018,110,10456,10469,14.319,144.06083,14.31667,144.06966
2018,111,10499,10539,14.30883,144.1355,14.25333,144.25233
2018,112,10565,10575,15.1265,144.799,15.123,144.80966
2018,113,10588,10618,15.11717,144.82633,15.09,144.91149
2018,114,10674,10839,15.08733,144.99267,14.85083,145.66365
2018,115,10860,10878,14.85167,145.71,14.869,145.78382
2018,116,10888,11079,14.88117,145.80933,15.57867,146.03733
2018,117,11105,11383,16.0385,146.03167,16.32317,145.87117
2018,118,11395,11405,16.36483,145.81933,16.38284,145.79768
2018,119,11421,11436,16.4105,145.75783,16.41483,145.70135
2018,120,11457,11481,16.4235,145.589,16.34783,145.58434
2018,121,11517,11575,16.356,145.5845,16.28133,145.72516
2018,122,11604,11614,16.34917,145.74317,16.36534,145.74367
2018,123,11618,11659,16.37967,145.74367,16.36433,145.618
2018,124,11665,11684,16.3385,145.61883,16.32117,145.64332
2021,1,150,186,15.361,145.78817,15.41033,145.86267
2021,2,206,267,15.46533,145.92567,15.58617,146.06349
2021,3,270,284,15.5915,146.06933,15.60783,146.088
2021,4,288,387,15.61533,146.096,15.78667,146.29566
2021,5,399,440,16.6155,145.95583,16.51083,145.84917
2021,6,459,492,16.463,145.801,16.3815,145.71817
2021,7,496,560,16.37983,145.70633,16.303,145.64017
2021,8,562,599,16.3005,145.63767,16.23433,145.56417
2021,9,604,654,16.22067,145.54967,16.09266,145.42319
2021,10,662,967,16.06767,145.396,15.1835,144.49534
2021,11,984,1052,16.053,144.20733,16.23217,144.37916
2021,12,1066,1111,16.25933,144.40417,16.38117,144.52681
2021,13,1113,1137,16.38667,144.5325,16.4405,144.585
2021,14,1403,1483,17.13033,145.2895,17.29233,145.45383
2021,15,1493,1563,18.0935,145.71617,17.96733,145.47884
2021,16,1676,1778,17.9825,145.47383,18.02267,145.01367
2021,17,1780,1921,18.02167,145.01283,17.59683,144.57918
2021,18,1949,2438,18.36067,144.17367,19.65017,145.49783
2021,19,2459,2501,19.54983,144.19633,19.66133,144.30933
2021,20,2505,2566,19.666,144.314,19.786,144.43715
2021,21,2718,2911,19.86967,144.51867,20.431,145.10199
2021,22,2970,3005,20.38333,145.02017,20.44967,145.12132
2021,23,3015,3069,18.907,145.61467,18.81833,145.73215
2021,24,3166,3533,18.79683,145.80267,19.8505,146.91683
2021,25,3552,3576,18.72683,146.949,18.68833,146.90434
2021,26,3592,3706,18.6335,146.8445,18.30333,146.50002
2021,27,3714,3939,18.28233,146.4785,17.61617,145.78734
2021,28,3941,3962,17.61483,145.786,17.56517,145.7885
2021,29,4002,4020,17.50717,145.77067,17.5045,145.76386
2021,30,4095,4563,16.6235,144.76983,15.18367,143.32534
2021,31,4584,4599,14.26717,143.57667,14.224,143.53368
2021,32,4611,4839,14.20867,143.51783,13.527,142.82401
2021,33,4863,4976,13.45733,142.77567,13.124,142.45985
2021,34,4995,5031,13.09667,142.46133,13.03167,142.37417
2021,35,5038,5064,13.011,142.34583,12.9815,142.30984
2021,36,5081,5113,12.96933,142.2945,12.87667,142.2065
2021,37,5130,5148,12.82767,142.15783,12.78133,142.11467
2021,38,5168,5215,13.65917,141.82483,13.763,141.92565
2021,39,5220,5346,13.77217,141.93483,14.124,142.27698
2021,40,5348,5376,14.13017,142.28267,14.20767,142.36015
2021,41,5598,5791,15.53733,142.5165,16.11717,143.09181
2021,42,5934,6093,16.52533,143.49783,16.96233,143.93616
2021,43,6096,6131,17.81833,143.6255,17.72617,143.53268
2021,44,6148,6459,17.66917,143.47583,16.67717,142.49101
2021,45,6522,6554,16.67083,142.48183,16.58533,142.39817
2021,46,6626,6768,17.75433,142.39183,18.19117,142.8255
2021,47,6770,6909,18.1955,142.82967,18.6165,143.25033
2021,48,6940,7024,18.705,143.33717,18.92683,143.56366
2021,49,7140,7422,18.7565,142.21733,19.57367,143.03132
2021,50,7429,7580,19.5905,143.04717,19.9945,143.45733
2021,51,7711,7983,21.03967,143.3255,21.82083,144.12549
2021,52,8144,8251,21.83833,144.094,22.1225,144.43765
2021,53,8260,8360,21.69517,145.2085,21.3835,144.8815
2021,54,8380,8567,21.3725,144.85283,20.77217,144.24934
2021,55,8719,8749,20.73883,144.213,20.66683,144.14484
2021,56,8795,8835,20.54117,144.01367,20.431,143.90133
2021,57,8858,8929,20.6855,142.96767,20.49633,142.77433
2021,58,9315,9355,20.55317,141.6545,20.64433,141.74366
2021,59,9393,9536,20.70083,141.763,21.13683,142.23583
2021,60,9622,9669,21.35583,142.4545,21.44917,142.54866
2021,61,9795,9883,21.47067,142.55317,21.721,142.82449
2021,62,9902,10065,22.39617,143.5125,22.86217,143.99349
2021,63,10098,10127,22.86133,144.01133,22.89083,144.03349
2021,64,10299,10366,22.99717,144.13717,23.2,144.34665
2021,65,10373,10458,23.1945,144.35533,22.93367,144.351
2021,66,10464,10518,22.91033,144.35033,22.761,144.35883
2021,67,10535,10635,21.20517,143.336,20.899,143.03034
2021,68,10673,10765,20.87033,143.00767,20.57083,143.13116
2021,69,10774,10865,20.549,143.138,20.2375,143.26599
2021,70,10951,11062,20.02317,143.21,19.52816,143.13784
2021,71,11079,11165,18.95733,144.24933,18.91317,144.57795
2021,72,11230,11283,18.94683,144.60967,18.8805,144.81549
2021,73,11357,11402,18.861,144.848,18.81667,144.6492
2021,74,11405,11437,18.81433,144.64467,18.73133,144.56
2021,75,11442,11608,18.716,144.54433,18.22016,144.03536
2021,76,11626,11771,16.8045,144.665,16.91233,144.07367
2021,77,11826,12045,16.92317,144.08,17.093,143.18067
2021,78,12080,12105,17.106,143.17283,17.12067,143.09885
2021,79,12173,12219,17.13533,143.08017,17.169,142.90153
2021,80,12560,12657,14.61733,141.61933,14.3335,141.34118
2021,81,12675,12685,12.7855,142.07883,12.76633,142.089
2021,82,12690,12699,12.76633,142.09467,12.77817,142.10665
2021,83,12701,12907,12.78483,142.11367,13.34083,142.66633
2021,84,12924,12940,13.38367,142.7105,13.41734,142.74199
2021,85,12952,13173,13.45883,142.779,14.14167,143.45767
2021,86,13191,13401,14.29567,142.98367,13.687,142.35985
2021,87,13416,13432,13.63667,142.31,13.60233,142.27501
2021,88,13446,13485,13.55667,142.22683,13.45316,142.12018
2021,89,13694,13732,12.06233,142.5555,12.16134,142.65232
2021,90,14105,14144,12.93383,144.601,12.833,144.47834
2021,91,14175,14204,12.78383,144.38367,12.71,144.34834
2021,92,14232,14356,12.34167,145.142,12.006,144.828
2021,93,14437,14611,11.98533,144.71167,11.49966,144.30185
2021,94,14701,14861,11.43167,144.30967,11.0815,143.88001
2021,95,14893,14909,11.31333,145.2725,11.3465,145.30632
2021,96,14911,14985,11.3495,145.309,11.5375,145.496
