AnimalID,All,Fine,Broad,HI Fine,CNMI_HIArch,CNMI_Other,CNMI_NoHybrids,STRUCTURE_strata
102392,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102393,All,NWHI,HIArch,,HIArch,Ttru,,HIArch
102394,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102395,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102396,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102397,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102398,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102399,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102400,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102401,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102402,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102403,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102404,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102405,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102406,All,NWHI,HIArch,Midway,HIArch,Ttru,,HIArch
102422,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
102423,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
102424,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
102425,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
102426,All,NWHI,HIArch,,HIArch,Ttru,,HIArch
102427,All,NWHI,HIArch,NeckerIsland,HIArch,Ttru,,HIArch
102428,All,NWHI,HIArch,NeckerIsland,HIArch,Ttru,,HIArch
102429,All,NWHI,HIArch,NeckerIsland,HIArch,Ttru,,HIArch
102430,All,NWHI,HIArch,,HIArch,Ttru,,HIArch
102482,All,MHI,HIArch,Oahu,HIArch,Ttru,,HIArch
102499,All,MHI,HIArch,,HIArch,Ttru,,HIArch
103984,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
103985,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
103986,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
104020,All,MHI,HIArch,,HIArch,Ttru,,HIArch
104021,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
104022,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
104035,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
104066,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
104067,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
104070,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
107857,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
107859,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
108171,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
108172,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
108183,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
108207,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
108208,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
113577,All,MHI,HIArch,,HIArch,Ttru,,HIArch
113578,All,MHI,HIArch,BigIsland,HIArch,Ttru,,HIArch
113652,All,MHI,HIArch,4-Islands,HIArch,Ttru,,HIArch
114559,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
114560,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
114561,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
114562,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
114563,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
114941,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
114942,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
114943,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
114944,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
114958,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
114961,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
114962,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
116858,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
116866,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
116867,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
116868,All,CNMI,CNMI,,CNMI,CNMI,,CNMI
116869,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
116881,All,CNMI,CNMI,,CNMI,CNMI,CNMI,CNMI
123253,All,MHI,HIArch,,HIArch,Ttru,,HIArch
123357,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
123358,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
123359,All,NWHI,HIArch,GardnerValley,HIArch,Ttru,,HIArch
123364,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
123365,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
123366,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
123372,All,NWHI,HIArch,Nihoa,HIArch,Ttru,,HIArch
123373,All,NWHI,HIArch,Nihoa,HIArch,Ttru,,HIArch
123374,All,NWHI,HIArch,Nihoa,HIArch,Ttru,,HIArch
123375,All,MHI,HIArch,,HIArch,Ttru,,HIArch
123376,All,NWHI,HIArch,Nihoa,HIArch,Ttru,,HIArch
123377,All,NWHI,HIArch,Nihoa,HIArch,Ttru,,HIArch
123380,All,NWHI,HIArch,FFS,HIArch,Ttru,,HIArch
133152,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
133153,All,MHI,HIArch,Kauai,HIArch,Ttru,,HIArch
